MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
-165.1666667,114.1666667,-14.58717168,-11.75,3.474198125,8.275801875,-0.95759841,0.389005232,1,-1,-1
-97.66666667,97.66666667,213.1476931,-18.25,-0.480982223,18.73098222,0.560609625,0.680415269,-1,-1,-1
-333.5,100,68.87524085,54.75,5.543853787,-60.29385379,0.847597433,0.795260783,-1,-1,-1
23.5,-14.5,-23.71506197,-7.25,5.918074261,1.331925739,-0.336857594,0.460599631,0,0,-1
1.333333333,-6.833333333,-5.884122339,-7.5,3.209624497,4.290375503,-1.996398566,0.28854832,1,0,-1
31,-6.5,-31.16073483,-15.75,-0.776897696,16.5268977,-0.77251837,0.426052503,0,1,-1
16.33333333,-17.83333333,-14.39918904,12.75,4.933791768,-17.68379177,-0.324588548,0.425657998,0,0,-1
-10,20.5,-8.337121021,-31.5,3.466307146,28.03369285,-1.168865102,0.424257474,0,0,-1
-14.5,-41,-34.94542055,-6.75,6.011181689,0.738818311,-0.375474515,0.39916221,1,0,-1
46.5,-28.5,-16.73813199,-15.25,6.563154923,8.686845077,-1.516995486,0.279741518,1,1,-1
40,18,-18.54599059,-30,6.248074385,23.75192561,-0.771690367,0.33369057,1,1,-1
6.833333333,30.66666667,24.04888973,7,4.570338708,-11.57033871,0.637266755,0.654000712,-1,0,-1
-72.66666667,21.16666667,58.55528328,-7.5,1.12789714,6.37210286,0.130529315,0.349392717,1,0,-1
19.16666667,4.333333333,67.59870466,-12.25,1.158022492,11.09197751,0.330881556,0.283965005,1,0,-1
-87,20,6.004813665,1.5,0.250279413,-1.750279413,0.038111075,0.473517183,0,-1,-1
61.16666667,-58.16666667,-18.81934546,-13.75,2.303309016,11.44669098,-1.05319146,0.284718336,1,1,-1
16.33333333,45.66666667,-56.18065469,3,3.799467236,-6.799467236,0.146853892,0.322260862,1,1,-1
-9.5,1.5,-14.20865151,-4.25,4.29214369,-0.04214369,0.065408059,0.290058004,1,0,-1
22.33333333,-13.33333333,20.10884478,-5.5,3.04446699,2.45553301,-0.837234458,0.603598032,-1,1,-1
-25.83333333,14.83333333,5.863043289,-14.75,1.948628877,12.80137112,-1.683550216,0.505642026,0,0,-1
147,-147,8.966101397,1.5,3.802933805,-5.302933805,-0.035171697,0.544000141,0,1,-1
45.83333333,-18.33333333,-3.171609974,-46.5,6.808269951,39.69173005,-1.303300523,0.40149738,0,0,-1
